Category,Title,Link,Duration/Details
College Algebra,Missouri State University: Lecture Series,https://www.youtube.com/playlist?list=PLdLiRaajwSXTQcn7Me-mXHBMz0u-0oAF0,"36 videos, 40 minutes each"
College Algebra,Youtube channel - Geek's Lesson: Full Course,https://www.youtube.com/watch?v=7DMyZBx5NZ0,12h
College Algebra,freeCodeCamp.org: Full course,https://www.youtube.com/watch?v=LwCRRUa8yTU,7h
Linear Algebra,MIT Open Courseware: Videotaped Lectures,https://ocw.mit.edu/courses/18-06-linear-algebra-spring-2010/video_galleries/video-lectures/,"34 videos, 23h total"
Linear Algebra,freeCodeCamp.org: Full Course,https://www.youtube.com/watch?v=JnTa9XtvmfI,12h
Linear Algebra,freeCodeCamp.org: Full Course and Free Textbook,https://www.freecodecamp.org/news/linear-algebra-full-course/,20h
Probability,Harvard edX: Introduction to Probability - Self-paced Course,https://www.edx.org/course/introduction-probability,10 weeks
Probability,Open Learning Initiative Carnegie Mellon University: Introductory Course,https://oli.cmu.edu/courses/probability-statistics-open-free/,Introductory Course
Probability,MIT OpenCourseWare: Course,https://ocw.mit.edu/courses/18-05-introduction-to-probability-and-statistics-spring-2014/,15 weeks
Probability,Harvard EdX: Data Science Probability - Self-paced Course,https://www.edx.org/course/data-science-probability,8 weeks
Probability,Harvard EdX: Introduction to Probability Part I Instructor-paced Course,https://www.edx.org/course/introduction-probability-science-mitx-6-041x-2,16 weeks
Probability,Harvard EdX: Introduction to Probability Part II Instructor-paced Course,https://www.edx.org/course/introduction-to-probability-part-2-inference-processes,16 weeks
Statistics,Geek Flare: Statistics for Data Science,https://geekflare.com/learn-statistics-for-data-science/,"20 courses, variable length"
Statistics,Youtube channel - 365 Data Science,https://www.youtube.com/c/365DataScience/videos,"Multiple videos, variable length"
Statistics,Harvard edX: Statistical Inference and Modeling - Self-paced Course,https://www.edx.org/course/statistical-inference-modeling-high-harvardx-ph525-3x-1,4 weeks
Statistics,Harvard edX: Statistics and R - Self-paced Course,https://www.edx.org/course/statistics-r-harvardx-ph525-1x-1,4 weeks
Statistics,Columbia edX: Statistical Thinking for Data Science and Analytics - Self-paced Course,https://www.edx.org/course/statistical-thinking-data-science-columbiax-ds101x-1,5 weeks
Statistics,Varsity Tutors Statistics Practice Tests,https://www.varsitytutors.com/statistics-practice-tests,Practice Tests
Differential Calculus,The Organic Chemistry Tutor: Understand Calculus,https://www.youtube.com/watch?v=WsQQvHm4lSw,35 minutes
Differential Calculus,Khan Academy: Full Course,https://www.khanacademy.org/math/differential-calculus,6 units
Differential Calculus,freeCodeCamp.org: Full course,https://www.youtube.com/watch?v=HfACrKJ_Y2w,12h
Integral Calculus,Khan Academy: Full Course,https://www.khanacademy.org/math/ap-calculus-ab/ab-integration-new/ab-6-1/v/introduction-to-integral-calculus,6 units
Integral Calculus,freeCodeCamp.org: Full course,https://www.youtube.com/watch?v=7gigNsz4Oe8,7h
Integral Calculus,Youtube channel - Calculus 2: Full Course,https://www.youtube.com/watch?v=h4Vhh7aFmWw,10h
Integral Calculus,MIT Open Courseware: Calculus Courses,https://ocw.mit.edu/courses/mathematics/,variable length
Differential Equations,Youtube channel - The Math Sorcerer: Lecture series,https://www.youtube.com/playlist?list=PLO1y6V1SXjjO-wHEYaM-2yyNU28RqEyLX,"26 videos, 30h total"
Differential Equations,MIT OpenCourseWare: Video series,https://ocw.mit.edu/courses/res-18-009-learn-differential-equations-up-close-with-gilbert-strang-and-cleve-moler-fall-2015/pages/differential-equations-and-linear-algebra/,55 videos
Differential Equations,MIT OpenCourseWare: Videotaped Lectures,https://ocw.mit.edu/courses/18-03-differential-equations-spring-2010/video_galleries/video-lectures/,"33 videos, 27h total"
Differential Equations,Varsity Tutor Misc Practice Tests,https://www.varsitytutors.com/calculus_1-practice-tests#practice-tests-section,Practice Tests
Discrete Mathematics,My Lesson: Discrete Mathematics - Full Course,https://www.youtube.com/watch?v=UwYJUKVc-Hs,6h
Discrete Mathematics,TutorialsPoint: Lessons Series,https://www.tutorialspoint.com/discrete_mathematics/index.htm,Lessons Series
Discrete Mathematics,MIT OpenCourseWare: Full Course,https://ocw.mit.edu/courses/6-042j-mathematics-for-computer-science-fall-2010/,Full Course
Python Programming,Youtube channel - Traversy Media,https://www.youtube.com/channel/UC29ju8bIPH5as8OGnQzwJyA/search?query=python,Multiple Videos
Python Programming,Python Cheat Sheet for Beginners by Mosh Hamedani,https://programmingwithmosh.com/wp-content/uploads/2019/02/Python-Cheat-Sheet.pdf,1h
Python Programming,Youtube channel - CS Dojo: Python for beginners,https://www.youtube.com/channel/UCxX9wt5FWQUAAz4UrysqK9A,Multiple videos
Python Programming,Youtube channel - Derek Banas,https://www.youtube.com/channel/UCwRXb5dUK4cvsHbx-rGzSgw,Multiple videos
Python Programming,freeCodeCamp.org: A collection of posts and articles,https://www.freecodecamp.org/news/tag/python/,Collection of articles
Python Programming,Youtube channel - thenewboston,https://www.youtube.com/user/thenewboston,Multiple Videos
Python Programming,US San Diego EdX: Python for Data Science - Self-paced Course,https://www.edx.org/course/python-for-data-science,10 weeks